"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Policing & Crime Reduction & Fire","108","G7","48400","61000","Legal Adviser","4.50","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Policing & Crime Reduction & Fire","108","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Policing & Crime Reduction & Fire","108","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Security, International & Organised Crime","107","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Security, International & Organised Crime","107","G6","61200","75200","Senior Legal Adviser","3.43","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Security, International & Organised Crime","107","G7","48400","61000","Legal Adviser","3.80","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Security, International & Organised Crime","107","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers - Business Support & Secondary Legislation Unit","102","EO","25290","30000","Legal Officer","3.81","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers - Business Support & Secondary Legislation Unit","102","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers - Business Support & Secondary Legislation Unit","102","SEO","36250","43000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers - Business Support & Secondary Legislation Unit","103","G7","48400","61000","Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Legal Quality Team","131","G6","61200","75200","Senior Legal Adviser","0.83","Law"
"Attorney General's Office","Government Legal Department","Legal Quality Team","131","G7","48400","61000","Legal Adviser","1.60","Law"
"Attorney General's Office","Government Legal Department","Litigation","18","EO","25290","30000","Operational Officer","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Litigation - Practice Management Unit","19","AO","21850","23800","Operational Support Officer","13.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Litigation - Practice Management Unit","19","EO","25290","30000","Operational Officer","6.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Litigation - Practice Management Unit","19","G6","61200","75200","Operational Team Manager","2.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Litigation - Practice Management Unit","19","G7","48400","61000","Operational Team Manager","4.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Litigation - Practice Management Unit","19","HEO","29550","35000","Operational Manager","3.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Litigation - Practice Management Unit","19","SEO","36250","43000","Operational Manager","2.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Litigation A","20","EO","25290","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A","20","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A1 - MoJ Private Law","21","AO","21850","23800","Legal Support Officer","7.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A1 - MoJ Private Law","21","EO","25290","30000","Legal Officer","7.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A1 - MoJ Private Law","21","G6","61200","75200","Senior Legal Adviser","6.60","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A1 - MoJ Private Law","21","G7","48400","61000","Legal Adviser","25.12","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A1 - MoJ Private Law","21","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A1 - MoJ Private Law","21","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A1 - MoJ Private Law","21","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A2 - MoJ Private Law","22","AO","21850","23800","Legal Support Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A2 - MoJ Private Law","22","EO","25290","30000","Legal Officer","8.64","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A2 - MoJ Private Law","22","G6","61200","75200","Senior Legal Adviser","6.60","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A2 - MoJ Private Law","22","G7","48400","61000","Legal Adviser","26.07","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A2 - MoJ Private Law","22","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A2 - MoJ Private Law","22","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A2 - MoJ Private Law","22","PS","22560","24260","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A3 - MoD Private Law","23","AO","21850","23800","Legal Support Officer","1.60","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A3 - MoD Private Law","23","EO","25290","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A3 - MoD Private Law","23","G6","61200","75200","Senior Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A3 - MoD Private Law","23","G7","48400","61000","Legal Adviser","8.60","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A3 - MoD Private Law","23","SEO","36250","43000","Legal Manager","3.71","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A5 -  General Private Law & Costs","25","AO","21850","23800","Legal Support Officer","12.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A5 -  General Private Law & Costs","25","EO","25290","30000","Legal Officer","11.60","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A5 -  General Private Law & Costs","25","G6","61200","75200","Senior Legal Adviser","6.60","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A5 -  General Private Law & Costs","25","G7","48400","61000","Legal Adviser","8.34","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A5 -  General Private Law & Costs","25","HEO","29550","35000","Legal Manager","4.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A5 -  General Private Law & Costs","25","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A8 - MoD Private Law","143","AO","21850","23800","Legal Support Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A8 - MoD Private Law","143","EO","25290","30000","Legal Officer","5.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A8 - MoD Private Law","143","G6","61200","75200","Senior Legal Adviser","4.90","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team A8 - MoD Private Law","143","G7","48400","61000","Legal Adviser","21.85","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team B4 - Justice & Security Public Law","24","AO","21850","23800","Legal Support Officer","4.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team B4 - Justice & Security Public Law","24","EO","25290","30000","Legal Officer","6.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team B4 - Justice & Security Public Law","24","G6","61200","75200","Senior Legal Adviser","8.84","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team B4 - Justice & Security Public Law","24","G7","48400","61000","Legal Adviser","18.71","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team B4 - Justice & Security Public Law","24","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team B4 - Justice & Security Public Law","24","LT","28280","32320","Legal Trainee","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team N1- National Security","26","AO","21850","23800","Legal Support Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team N1- National Security","26","EO","25290","30000","Legal Officer","3.80","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team N1- National Security","26","G6","61200","75200","Senior Legal Adviser","8.53","Law"
"Attorney General's Office","Government Legal Department","Litigation A - Team N1- National Security","26","G7","48400","61000","Legal Adviser","11.30","Law"
"Attorney General's Office","Government Legal Department","Litigation B","27","AO","21850","23800","Legal Support Officer","17.60","Law"
"Attorney General's Office","Government Legal Department","Litigation B","27","EO","25290","30000","Legal Officer","6.90","Law"
"Attorney General's Office","Government Legal Department","Litigation B","27","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Litigation B","27","SEO","36250","43000","Legal Manager","1.00","Law"
