"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Property Team","139","HEO","29550","35000","Legal Manager","2.22","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers","96","EO","25290","30000","Legal Officer","0.80","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Building Safety & Inquiry","167","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Building Safety & Inquiry","167","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Building Safety & Inquiry","167","G6","61200","75200","Senior Legal Adviser","1.89","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Building Safety & Inquiry","167","G7","48400","61000","Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Building Safety & Inquiry","167","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - European Programmes and Local Growth","97","G6","61200","75200","Senior Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - European Programmes and Local Growth","97","G7","48400","61000","Legal Adviser","2.58","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Housing, & Land","98","G6","61200","75200","Senior Legal Adviser","2.83","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Housing, & Land","98","G7","48400","61000","Legal Adviser","4.26","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Local Government","99","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Local Government","99","G6","61200","75200","Senior Legal Adviser","1.83","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Local Government","99","G7","48400","61000","Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Local Government","99","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Planning & infrastructure (including the Planning Inspectorate(PINS))","101","G6","61200","75200","Senior Legal Adviser","3.80","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Planning & infrastructure (including the Planning Inspectorate(PINS))","101","G7","48400","61000","Legal Adviser","6.49","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Planning & infrastructure (including the Planning Inspectorate(PINS))","101","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Planning & infrastructure (including the Planning Inspectorate(PINS))","101","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Planning Reform","100","G6","61200","75200","Senior Legal Adviser","2.60","Law"
"Attorney General's Office","Government Legal Department","Ministry of Housing, Communities and Local Government Legal Advisers  - Planning Reform","100","G7","48400","61000","Legal Adviser","6.27","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Business Support","10","EO","25290","30000","Legal Officer","3.56","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Business Support","10","G7","48400","61000","Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Civil & Family","11","G6","61200","75200","Senior Legal Adviser","4.64","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Civil & Family","11","G7","48400","61000","Legal Adviser","5.11","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Civil & Family","11","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Courts, Tribunals, Judiciary & Coroners","12","G6","61200","75200","Senior Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Courts, Tribunals, Judiciary & Coroners","12","G7","48400","61000","Legal Adviser","3.94","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Human Rights, Criminal Law and Sentencing Team","17","G6","61200","75200","Senior Legal Adviser","3.66","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Human Rights, Criminal Law and Sentencing Team","17","G7","48400","61000","Legal Adviser","4.74","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Human Rights, Criminal Law and Sentencing Team","17","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Justice Reform & Legal Aid","15","G6","61200","75200","Senior Legal Adviser","2.38","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Justice Reform & Legal Aid","15","G7","48400","61000","Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Justice Reform & Legal Aid","15","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Legal Aid Agency","16","G6","61200","75200","Senior Legal Adviser","2.89","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Legal Aid Agency","16","G7","48400","61000","Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Offender Management","14","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Offender Management","14","G6","61200","75200","Senior Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Offender Management","14","G7","48400","61000","Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Justice Legal Advisers - Offender Management","14","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","EO","25290","30000","Not in Post","3.80","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","G6","61200","75200","Not in Post","23.66","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","G7","48400","61000","Not in Post","31.54","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","HEO","29550","35000","Not in Post","1.00","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","LO","42420","42420","Not in Post","1.00","Other"
"Attorney General's Office","Government Legal Department","Parental/Maternity/Adoption/Other Leave","129","SEO","36250","43000","Not in Post","1.50","Other"
"Attorney General's Office","Government Legal Department","Private Office","1","AO","21850","23800","Operational Support Officer","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Private Office","1","EO","25290","30000","Operational Officer","2.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Private Office","1","HEO","29550","35000","Operational Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Secondment Out","129","EO","25290","30000","Not in Post","1.00","Other"
"Attorney General's Office","Government Legal Department","Secondment Out","129","G6","61200","75200","Not in Post","13.29","Other"
"Attorney General's Office","Government Legal Department","Secondment Out","129","G7","48400","61000","Not in Post","1.00","Other"
"Attorney General's Office","Government Legal Department","Secondment Out","129","LO","42420","42420","Not in Post","0.80","Other"
"Attorney General's Office","Government Legal Department","Secondment Out","129","LT","28280","32320","Not in Post","1.00","Other"
"Attorney General's Office","Government Legal Department","Statutory Instruments  Hub for BEIS, CO, DFE, HO & MOJ","69","G6","61200","75200","Senior Legal Adviser","5.13","Law"
"Attorney General's Office","Government Legal Department","Statutory Instruments  Hub for BEIS, CO, DFE, HO & MOJ","69","G7","48400","61000","Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Statutory Instruments  Hub for DCLG, DH, DWP, DIT & MOD","166","G6","61200","75200","Senior Legal Adviser","3.97","Law"
"Attorney General's Office","Government Legal Department","Statutory Instruments  Hub for DCLG, DH, DWP, DIT & MOD","166","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Statutory Instruments  Hub for DCMS, DEFRA, DFT, HSE & HMT","138","G6","61200","75200","Senior Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Statutory Instruments  Hub for DCMS, DEFRA, DFT, HSE & HMT","138","G7","48400","61000","Legal Adviser","2.61","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Legal Services in Germany","72","G6","61200","75200","Senior Legal Adviser","1.00","Law"
